Time(s),CH1(V),CH3(V)
-2.5e-06,-0.08262396,-0.1193135
-2.4995e-06,-0.08262396,-0.1193135
-2.499e-06,-0.08262396,-0.1193135
-2.4985e-06,-0.0918044,-0.1193135
-2.498e-06,-0.0918044,-0.1284914
-2.4975e-06,-0.0918044,-0.1284914
-2.497e-06,-0.0918044,-0.1284914
-2.4965e-06,-0.0918044,-0.1284914
-2.496e-06,-0.0918044,-0.1284914
-2.4955e-06,-0.1009848,-0.1376694
-2.495e-06,-0.1009848,-0.1376694
-2.4945e-06,-0.1009848,-0.1376694
-2.494e-06,-0.1009848,-0.1376694
-2.4935e-06,-0.1009848,-0.1376694
-2.493e-06,-0.1009848,-0.1376694
-2.4925e-06,-0.1009848,-0.1376694
-2.492e-06,-0.1009848,-0.1468474
-2.4915e-06,-0.1009848,-0.1468474
-2.491e-06,-0.1009848,-0.1468474
-2.4905e-06,-0.1009848,-0.1468474
-2.49e-06,-0.1009848,-0.1468474
-2.4895e-06,-0.1101653,-0.1560253
-2.489e-06,-0.1101653,-0.1560253
-2.4885e-06,-0.1009848,-0.1560253
-2.488e-06,-0.1101653,-0.1560253
-2.4875e-06,-0.1101653,-0.1560253
-2.487e-06,-0.1101653,-0.1652033
-2.4865e-06,-0.1101653,-0.1652033
-2.486e-06,-0.1101653,-0.1652033
-2.4855e-06,-0.1101653,-0.1652033
-2.485e-06,-0.1193457,-0.1652033
-2.4845e-06,-0.1193457,-0.1652033
-2.484e-06,-0.1193457,-0.1743813
-2.4835e-06,-0.1193457,-0.1743813
-2.483e-06,-0.1193457,-0.1743813
-2.4825e-06,-0.1285262,-0.1743813
-2.482e-06,-0.1285262,-0.1835592
-2.4815e-06,-0.1285262,-0.1835592
-2.481e-06,-0.1377066,-0.1835592
-2.4805e-06,-0.1377066,-0.1835592
-2.48e-06,-0.1377066,-0.1835592
-2.4795e-06,-0.1377066,-0.1835592
-2.479e-06,-0.1377066,-0.1927372
-2.4785e-06,-0.146887,-0.1835592
-2.478e-06,-0.146887,-0.1835592
-2.4775e-06,-0.146887,-0.1927372
-2.477e-06,-0.146887,-0.1927372
-2.4765e-06,-0.1560675,-0.1927372
-2.476e-06,-0.1560675,-0.1927372
-2.4755e-06,-0.1560675,-0.1927372
-2.475e-06,-0.1560675,-0.1927372
-2.4745e-06,-0.1560675,-0.1927372
-2.474e-06,-0.1560675,-0.2019151
-2.4735e-06,-0.1652479,-0.2019151
-2.473e-06,-0.1652479,-0.2019151
-2.4725e-06,-0.1652479,-0.2019151
-2.472e-06,-0.1652479,-0.2019151
-2.4715e-06,-0.1652479,-0.2019151
-2.471e-06,-0.1744284,-0.2019151
-2.4705e-06,-0.1652479,-0.2019151
-2.47e-06,-0.1652479,-0.2110931
-2.4695e-06,-0.1744284,-0.2110931
-2.469e-06,-0.1744284,-0.2110931
-2.4685e-06,-0.1744284,-0.2110931
-2.468e-06,-0.1744284,-0.2110931
-2.4675e-06,-0.1744284,-0.2202711
-2.467e-06,-0.1744284,-0.2202711
-2.4665e-06,-0.1744284,-0.2202711
-2.466e-06,-0.1744284,-0.2202711
-2.4655e-06,-0.1744284,-0.2202711
-2.465e-06,-0.1744284,-0.2202711
-2.4645e-06,-0.1744284,-0.2202711
-2.464e-06,-0.1744284,-0.229449
-2.4635e-06,-0.1744284,-0.229449
-2.463e-06,-0.1836088,-0.229449
-2.4625e-06,-0.1836088,-0.229449
-2.462e-06,-0.1836088,-0.238627
-2.4615e-06,-0.1836088,-0.238627
-2.461e-06,-0.1836088,-0.238627
-2.4605e-06,-0.1836088,-0.238627
-2.46e-06,-0.1836088,-0.238627
-2.4595e-06,-0.1927892,-0.2478049
-2.459e-06,-0.1927892,-0.2478049
-2.4585e-06,-0.1927892,-0.2478049
-2.458e-06,-0.1927892,-0.2478049
-2.4575e-06,-0.1927892,-0.2478049
-2.457e-06,-0.2019697,-0.2478049
-2.4565e-06,-0.2019697,-0.2478049
-2.456e-06,-0.2019697,-0.2569829
-2.4555e-06,-0.2019697,-0.2569829
-2.455e-06,-0.2111501,-0.2569829
-2.4545e-06,-0.2111501,-0.2569829
-2.454e-06,-0.2111501,-0.2569829
-2.4535e-06,-0.2203306,-0.2569829
-2.453e-06,-0.2203306,-0.2569829
-2.4525e-06,-0.2203306,-0.2661608
-2.452e-06,-0.2203306,-0.2661608
-2.4515e-06,-0.229511,-0.2661608
-2.451e-06,-0.229511,-0.2661608
-2.4505e-06,-0.229511,-0.2661608
-2.45e-06,-0.229511,-0.2661608
-2.4495e-06,-0.229511,-0.2661608
-2.449e-06,-0.229511,-0.2661608
-2.4485e-06,-0.2386914,-0.2661608
-2.448e-06,-0.2386914,-0.2661608
-2.4475e-06,-0.2386914,-0.2661608
-2.447e-06,-0.2386914,-0.2753388
-2.4465e-06,-0.2386914,-0.2753388
-2.446e-06,-0.2386914,-0.2753388
-2.4455e-06,-0.2386914,-0.2753388
-2.445e-06,-0.2386914,-0.2753388
-2.4445e-06,-0.2478719,-0.2753388
-2.444e-06,-0.2386914,-0.2753388
-2.4435e-06,-0.2386914,-0.2845168
-2.443e-06,-0.2386914,-0.2845168
-2.4425e-06,-0.2386914,-0.2845168
-2.442e-06,-0.2478719,-0.2845168
-2.4415e-06,-0.2478719,-0.2845168
-2.441e-06,-0.2478719,-0.2845168
-2.4405e-06,-0.2478719,-0.2936947
-2.44e-06,-0.2478719,-0.2936947
-2.4395e-06,-0.2478719,-0.2936947
-2.439e-06,-0.2478719,-0.2936947
-2.4385e-06,-0.2478719,-0.2936947
-2.438e-06,-0.2478719,-0.3028727
-2.4375e-06,-0.2478719,-0.3028727
-2.437e-06,-0.2478719,-0.3028727
-2.4365e-06,-0.2478719,-0.3028727
-2.436e-06,-0.2570523,-0.3028727
-2.4355e-06,-0.2570523,-0.3120506
-2.435e-06,-0.2570523,-0.3028727
-2.4345e-06,-0.2570523,-0.3120506
-2.434e-06,-0.2570523,-0.3120506
-2.4335e-06,-0.2570523,-0.3120506
-2.433e-06,-0.2662328,-0.3120506
-2.4325e-06,-0.2662328,-0.3120506
-2.432e-06,-0.2662328,-0.3120506
-2.4315e-06,-0.2662328,-0.3212286
-2.431e-06,-0.2662328,-0.3212286
-2.4305e-06,-0.2754132,-0.3212286
-2.43e-06,-0.2754132,-0.3212286
-2.4295e-06,-0.2754132,-0.3212286
-2.429e-06,-0.2845936,-0.3212286
-2.4285e-06,-0.2845936,-0.3212286
-2.428e-06,-0.2845936,-0.3212286
-2.4275e-06,-0.2845936,-0.3212286
-2.427e-06,-0.2845936,-0.3212286
-2.4265e-06,-0.2937741,-0.3304066
-2.426e-06,-0.2937741,-0.3304066
-2.4255e-06,-0.2937741,-0.3304066
-2.425e-06,-0.2937741,-0.3304066
-2.4245e-06,-0.3029545,-0.3304066
-2.424e-06,-0.2937741,-0.3304066
-2.4235e-06,-0.3029545,-0.3304066
-2.423e-06,-0.3029545,-0.3304066
-2.4225e-06,-0.3029545,-0.3395845
-2.422e-06,-0.3029545,-0.3395845
-2.4215e-06,-0.3029545,-0.3395845
-2.421e-06,-0.3029545,-0.3395845
-2.4205e-06,-0.3029545,-0.3395845
-2.42e-06,-0.3029545,-0.3395845
-2.4195e-06,-0.3029545,-0.3395845
-2.419e-06,-0.3029545,-0.3395845
-2.4185e-06,-0.3029545,-0.3395845
-2.418e-06,-0.3029545,-0.3395845
-2.4175e-06,-0.3029545,-0.3487625
-2.417e-06,-0.3029545,-0.3487625
-2.4165e-06,-0.3029545,-0.3487625
-2.416e-06,-0.312135,-0.3579405
-2.4155e-06,-0.3029545,-0.3579405
-2.415e-06,-0.3029545,-0.3579405
-2.4145e-06,-0.3029545,-0.3579405
-2.414e-06,-0.3029545,-0.3579405
-2.4135e-06,-0.3029545,-0.3579405
-2.413e-06,-0.312135,-0.3579405
-2.4125e-06,-0.312135,-0.3671184
-2.412e-06,-0.312135,-0.3671184
-2.4115e-06,-0.312135,-0.3671184
-2.411e-06,-0.312135,-0.3671184
-2.4105e-06,-0.312135,-0.3671184
-2.41e-06,-0.3213154,-0.3671184
-2.4095e-06,-0.3213154,-0.3671184
-2.409e-06,-0.3213154,-0.3762964
-2.4085e-06,-0.3213154,-0.3762964
-2.408e-06,-0.3213154,-0.3762964
-2.4075e-06,-0.3213154,-0.3762964
-2.407e-06,-0.3304958,-0.3762964
